title,author,genre,start_date,end_date,year,page_count,audiobook,start_date_raw,end_date_raw
The Ten Day MBA,Steven Silbiger,"business, mba",2025-03-05,2025-03-19,2025,397,False,5-Mar,19-Mar
"Humor, Seriously","Jennifer Aaker, Naomi Bagdonas","business, self-help",2025-03-19,2025-03-26,2025,227,False,19-Mar,26-Mar
How the World Ran out of Everything,Peter S. Goodman,"business, global, supply chain",2025-03-31,2025-04-11,2025,352,False,31-Mar,11-Apr
The Great Game of Business,Jack Stack,business,2025-04-12,2025-04-20,2025,361,False,12-Apr,20-Apr-25
Super Pumped The Battle for Uber,Mike Issac,"business, story-telling, uber",2025-04-22,2025-05-03,2025,351,False,22-Apr,3-May
Probably the Best Book on Statistics Ever Written,Haim Shapira,"math, statistics",2025-05-04,2025-05-14,2025,272,False,4-May,14-May
"The Technological Republic - Hard Power, Soft Belief, and the Future of the West","Alexander C. Karp, Nicholas W. Zamiska","business, technology",2025-05-14,2025-05-22,2025,218,False,14-May,22-May
The Long Game: How to be a Long-Term Thinker in a Short-Term World,Dorie Clark,"business, life, self-help",2025-05-23,2025-05-30,2025,209,False,23-May,30-May
Everything is Predictable,Tom Chibers,stats,2025-06-02,2025-06-16,2025,336,False,2-Jun,6/16/25
"The AI Age - Save time, sell more, and crush the competition","Jeb Blount, Anthony Iannarino","ai, business, sales",2025-06-20,2025-06-22,2025,266,False,20-Jun,22-Jun
Tiny Experiments: How to live freely in a Goal-Obsessed World,Anne-Laure LeCunff,"business, pyschology, self-help",2025-06-23,2025-06-29,2025,237,False,23-Jun,29-Jun
Filterworld: How Algorithms Flattened Culture,Kyle Chayka,"data, recommendation, technology",2025-07-07,2025-07-24,2025,280,False,7-Jul,24-Jul
"Revenge of the Tipping Point: Overstories, Superspreaders, and the Rise of Social Engineering",Malcolm Gladwell,"pyschology, social",2025-07-25,2025-07-31,2025,304,False,25-Jul,31-Jul
